question_id,question,category,ground_truth,source_ids,generated_answer,retrieved_urls,first_correct_url_rank,reciprocal_rank,precision_at_5,answer_f1,contextual_precision,latency,dense_titles,sparse_titles,context_titles
11,What is Consciousness?,factual,Consciousness is being aware of something internal to one's self or being conscious of states or objects in one's external environment.,['S159'],being aware of something internal to one's self or being conscious of states or objects in one's external environment,"['https://en.wikipedia.org/wiki/Consciousness', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Memory', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Human_brain']",1,1.0,0.2,0.9545454545454545,1.0,2.9155428409576416,"['Consciousness', 'Memory', 'Human brain', 'Neuroscience', 'Attention']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Consciousness', 'Education', 'Memory', 'Evolutionary biology', 'Human brain']"
12,What is Popular culture?,factual,"Popular culture (also called pop culture or mass culture) is generally recognized by members of a society as a set of practices, beliefs, artistic output (also known as popular art [cf.",['S191'],"a set of practices, beliefs, artistic output","['https://en.wikipedia.org/wiki/Popular_culture', 'https://en.wikipedia.org/wiki/Cultural_anthropology', ""https://en.wikipedia.org/wiki/Creating_Masculinity_in_Los_Angeles's_Little_Manila"", 'https://en.wikipedia.org/wiki/Cuisine', 'https://en.wikipedia.org/wiki/Suthirat_Wongtewan']",1,1.0,0.2,0.34285714285714286,1.0,2.624027967453003,"['Popular culture', 'Cultural anthropology', 'Cuisine', 'Theatre', 'Mass communication']","['Popular culture', ""Creating Masculinity in Los Angeles's Little Manila"", 'Suthirat Wongtewan', 'Alhambra Publishing', 'Education']","['Popular culture', 'Cultural anthropology', ""Creating Masculinity in Los Angeles's Little Manila"", 'Cuisine', 'Suthirat Wongtewan']"
13,What is Monetary policy?,factual,Heterodox Monetary policy is the policy adopted by the monetary authority of a nation to affect monetary and other financial conditions to accomplish broader objectives like high employment and price stability (normally interpreted as a low and stable rate of inflation).,['S136'],the policy adopted by the monetary authority of a nation to affect monetary and other financial conditions,"['https://en.wikipedia.org/wiki/Monetary_policy', 'https://en.wikipedia.org/wiki/Fiscal_policy', 'https://en.wikipedia.org/wiki/Inflation', 'https://en.wikipedia.org/wiki/Economics', 'https://en.wikipedia.org/wiki/Macroeconomics']",1,1.0,0.2,0.5490196078431372,1.0,3.06504487991333,"['Monetary policy', 'Fiscal policy', 'Inflation', 'Economics', 'Microeconomics']","['Monetary policy', 'Fiscal policy', 'Inflation', 'Macroeconomics', 'Evolutionary biology']","['Monetary policy', 'Fiscal policy', 'Inflation', 'Economics', 'Macroeconomics']"
14,What is Robotics?,factual,"Robotics is the interdisciplinary study and practice of the design, construction, operation, and use of robots.",['S143'],"the study and practice of the design, construction, operation, and use of robots","['https://en.wikipedia.org/wiki/Robotics', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Robots_(2005_film)', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Mechatronics']",1,1.0,0.2,0.88,1.0,2.670530080795288,"['Robotics', 'Robots (2005 film)', 'Mechatronics', 'Artificial intelligence', 'Mechanical engineering']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Robotics', 'Education', 'Robots (2005 film)', 'Evolutionary biology', 'Mechatronics']"
15,What is Sustainable economy?,factual,"Sustainability (from the latin sustinere - hold up, hold upright; furnish with means of support; bear, undergo, endure) is the ability to continue over a long period of time.",['S187'],sustainable development,"['https://en.wikipedia.org/wiki/Sustainable_economy', 'https://en.wikipedia.org/wiki/Economics', 'https://en.wikipedia.org/wiki/Philosophy', 'https://en.wikipedia.org/wiki/Environmental_policy', 'https://en.wikipedia.org/wiki/Evolutionary_biology']",1,1.0,0.2,0.0,1.0,1.3737123012542725,"['Sustainable economy', 'Economics', 'Environmental policy', 'Economic development', 'Conservation']","['Sustainable economy', 'Philosophy', 'Evolutionary biology', 'Education', 'Justice']","['Sustainable economy', 'Economics', 'Philosophy', 'Environmental policy', 'Evolutionary biology']"
16,What is Operating system?,factual,"An operating system (OS) is system software that manages computer hardware and software resources, and provides common services for computer programs.",['S045'],system software,"['https://en.wikipedia.org/wiki/Operating_system', 'https://en.wikipedia.org/wiki/Virtualization', 'https://en.wikipedia.org/wiki/Operating_system_kernel', 'https://en.wikipedia.org/wiki/Justice', 'https://en.wikipedia.org/wiki/Computer_science']",1,1.0,0.2,0.18181818181818182,1.0,1.9776482582092285,"['Operating system', 'Virtualization', 'Operating system kernel', 'Computer science', 'Containerization (computing)']","['Operating system', 'Justice', 'Operating system kernel', 'Virtualization', 'List of NJ Transit railroad stations']","['Operating system', 'Virtualization', 'Operating system kernel', 'Justice', 'Computer science']"
17,What is Biotechnology?,factual,Biotechnology is a multidisciplinary field that involves the integration of natural sciences and engineering sciences in order to achieve the application of organisms and parts thereof for products and services.,['S121'],field,"['https://en.wikipedia.org/wiki/Biotechnology', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Genetic_engineering', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Biology']",1,1.0,0.2,0.07142857142857142,1.0,2.278541088104248,"['Biotechnology', 'Genetic engineering', 'Biology', 'Chemistry', 'Genetics']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Biotechnology', 'Education', 'Genetic engineering', 'Evolutionary biology', 'Biology']"
18,What is Water cycle?,factual,"The water cycle (or hydrologic cycle or hydrological cycle) is a biogeochemical cycle that involves the continuous change in form of water on, above and below the surface of the Earth across different reservoirs.",['S176'],biogeochemical cycle,"['https://en.wikipedia.org/wiki/Water_cycle', 'https://en.wikipedia.org/wiki/Earth', 'https://en.wikipedia.org/wiki/Ocean', 'https://en.wikipedia.org/wiki/Carbon_cycle', 'https://en.wikipedia.org/wiki/Nutrition']",1,1.0,0.2,0.12903225806451613,1.0,1.7888340950012207,"['Water cycle', 'Carbon cycle', 'Ocean', 'Climate model', 'Earth']","['Water cycle', 'Earth', 'Nutrition', 'Ocean', 'Ayva tatlısı']","['Water cycle', 'Earth', 'Ocean', 'Carbon cycle', 'Nutrition']"
19,What is Mathematics?,factual,"Mathematics is a field of study that discovers and organizes methods, theories, and theorems that are developed and proved for the needs of empirical sciences and mathematics itself.",['S004'],field of study,"['https://en.wikipedia.org/wiki/Mathematics', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Linguistics', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Computational_complexity_theory']",1,1.0,0.2,0.20689655172413793,1.0,1.4255719184875488,"['Mathematics', 'Linguistics', 'Computational complexity theory', 'Probability', 'Algorithm']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Mathematics', 'Education', 'Linguistics', 'Evolutionary biology', 'Computational complexity theory']"
20,What is Cognitive science?,factual,"Cognitive science is the interdisciplinary, scientific study of the mind and its processes.",['S158'],"interdisciplinary, scientific study","['https://en.wikipedia.org/wiki/Cognitive_science', 'https://en.wikipedia.org/wiki/Psychology', 'https://en.wikipedia.org/wiki/Scientific_method', 'https://en.wikipedia.org/wiki/Attention', 'https://en.wikipedia.org/wiki/Neuroscience']",1,1.0,0.2,0.42857142857142855,1.0,1.5015058517456055,"['Cognitive science', 'Scientific method', 'Neuroscience', 'Psychology', 'Data science']","['Cognitive science', 'Attention', 'Decision theory', 'Psychology', 'Evolutionary biology']","['Cognitive science', 'Psychology', 'Scientific method', 'Attention', 'Neuroscience']"
21,What is Cell (biology)?,factual,The cell is the basic structural and functional unit of all forms of life or organisms.,['S016'],the basic structural and functional unit of all forms of life or organisms,"['https://en.wikipedia.org/wiki/Cell_(biology)', 'https://en.wikipedia.org/wiki/Biology', 'https://en.wikipedia.org/wiki/Neural_network', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Neuroscience']",1,1.0,0.2,0.923076923076923,1.0,2.477802038192749,"['Cell (biology)', 'Biology', 'Neural network', 'Neuroscience', 'Biotechnology']","['Cell (biology)', 'Biology', 'Evolutionary biology', 'Education', 'Philosophy']","['Cell (biology)', 'Biology', 'Neural network', 'Evolutionary biology', 'Neuroscience']"
22,What is Aerospace engineering?,factual,Aerospace engineering is the primary field of engineering concerned with the development of aircraft and spacecraft.,['S145'],primary field of engineering concerned with the development of aircraft and spacecraft,"['https://en.wikipedia.org/wiki/Aerospace_engineering', 'https://en.wikipedia.org/wiki/Mechanical_engineering', 'https://en.wikipedia.org/wiki/Systems_engineering', 'https://en.wikipedia.org/wiki/Out_of_autoclave_composite_manufacturing', 'https://en.wikipedia.org/wiki/Civil_engineering']",1,1.0,0.2,0.88,1.0,3.05694317817688,"['Aerospace engineering', 'Mechanical engineering', 'Civil engineering', 'Systems engineering', 'Mechatronics']","['Aerospace engineering', 'Out of autoclave composite manufacturing', 'Systems engineering', 'Mechanical engineering', 'Education']","['Aerospace engineering', 'Mechanical engineering', 'Systems engineering', 'Out of autoclave composite manufacturing', 'Civil engineering']"
23,What is Mughal Empire?,factual,The Mughal Empire was an early modern empire that ruled most of the Indian subcontinent.,['S171'],empire that ruled most of the Indian subcontinent,"['https://en.wikipedia.org/wiki/Mughal_Empire', 'https://en.wikipedia.org/wiki/Yazdagird_(Bavandid_ruler)', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Ottoman_Empire', 'https://en.wikipedia.org/wiki/Evolutionary_biology']",1,1.0,0.2,0.7368421052631579,1.0,4.622298002243042,"['Mughal Empire', 'Yazdagird (Bavandid ruler)', 'Ottoman Empire', 'Indus Valley Civilisation', 'List of Marathi films of 1924']","['Mughal Empire', 'Education', 'Evolutionary biology', 'Philosophy', 'Justice']","['Mughal Empire', 'Yazdagird (Bavandid ruler)', 'Education', 'Ottoman Empire', 'Evolutionary biology']"
24,What is Learning?,factual,"Learning is the process of acquiring new understanding, knowledge, behaviors, skills, values, attitudes, and preferences.",['S162'],"acquiring new understanding, knowledge, behaviors, skills, values, attitudes, and preferences","['https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Learning', 'https://en.wikipedia.org/wiki/Memory', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Philosophy']",2,0.5,0.2,0.8333333333333333,1.0,4.190937042236328,"['Learning', 'Memory', 'Education', 'Machine learning', 'Deep learning']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Education', 'Learning', 'Memory', 'Evolutionary biology', 'Philosophy']"
25,What is Roman Empire?,factual,"During the classical period, the Roman Empire controlled the Mediterranean and much of Europe, Western Asia, and North Africa.",['S127'],empire,"['https://en.wikipedia.org/wiki/Byzantine_Empire', 'https://en.wikipedia.org/wiki/Roman_Empire', 'https://en.wikipedia.org/wiki/Justice', 'https://en.wikipedia.org/wiki/Roman_Shevliakov', 'https://en.wikipedia.org/wiki/Ottoman_Empire']",2,0.5,0.2,0.11764705882352941,1.0,1.9345390796661377,"['Byzantine Empire', 'Roman Empire', 'Ottoman Empire', 'Ancient Greece', 'Justinus']","['Justice', 'Roman Shevliakov', 'Byzantine Empire', 'Roman Empire', 'Education']","['Byzantine Empire', 'Roman Empire', 'Justice', 'Roman Shevliakov', 'Ottoman Empire']"
26,What is Globalization?,factual,"Globalization is the process of increasing interdependence and integration among the economies, markets, societies, and cultures of different countries worldwide.",['S116'],the four mechanisms of evolution,"['https://en.wikipedia.org/wiki/Globalization', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Economic_development', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Urbanization']",1,1.0,0.2,0.0909090909090909,1.0,1.5188169479370117,"['Globalization', 'Economic development', 'Urbanization', 'Geopolitics', 'Economics']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Globalization', 'Education', 'Economic development', 'Evolutionary biology', 'Urbanization']"
27,What is Encryption?,factual,"In cryptography, encryption (more specifically, encoding) is the process of transforming information in a way that, ideally, only authorized parties can decode.",['S048'],The purpose of evolutionary biology is to observe the diversity of life on Earth,"['https://en.wikipedia.org/wiki/Encryption', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Information_security', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Cybersecurity']",1,1.0,0.2,0.125,1.0,2.256958246231079,"['Encryption', 'Information security', 'Cybersecurity', 'Computer science', 'Cryptocurrency']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Encryption', 'Education', 'Information security', 'Evolutionary biology', 'Cybersecurity']"
28,What is Evolution?,factual,Evolution is the change in the heritable characteristics of biological populations over successive generations.,['S006'],biology that analyzes the four mechanisms of evolution,"['https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Evolution', 'https://en.wikipedia.org/wiki/Biology', 'https://en.wikipedia.org/wiki/Philosophy']",3,0.3333333333333333,0.2,0.2105263157894737,1.0,1.7639617919921875,"['Evolutionary biology', 'Evolution', 'Biology', 'Ecology', 'Genetics']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Evolutionary biology', 'Education', 'Evolution', 'Biology', 'Philosophy']"
29,What is Law?,factual,"Law is a set of rules that are created and are enforceable by governmental or societal institutions to regulate behavior, with its precise definition a matter of longstanding debate.",['S113'],"set of rules, norms, legal customs and standards","['https://en.wikipedia.org/wiki/Justice', 'https://en.wikipedia.org/wiki/Law', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/International_law', 'https://en.wikipedia.org/wiki/Evolutionary_biology']",2,0.5,0.2,0.22857142857142856,1.0,2.03466796875,"['Law', 'International law', 'Justice', 'Constitution', 'Logic']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Justice', 'Law', 'Education', 'International law', 'Evolutionary biology']"
30,What is Neural network?,factual,A neural network is a group of interconnected units called neurons that send signals to one another.,['S037'],a class of statistical algorithms,"['https://en.wikipedia.org/wiki/Neural_network', 'https://en.wikipedia.org/wiki/Deep_learning', 'https://en.wikipedia.org/wiki/Neuroplasticity', 'https://en.wikipedia.org/wiki/Machine_learning', 'https://en.wikipedia.org/wiki/Cognitive_science']",1,1.0,0.2,0.10526315789473685,1.0,1.7957940101623535,"['Neural network', 'Deep learning', 'Machine learning', 'Neuroplasticity', 'Artificial intelligence']","['Neural network', 'Neuroplasticity', 'Deep learning', 'Cognitive science', 'Attention']","['Neural network', 'Deep learning', 'Neuroplasticity', 'Machine learning', 'Cognitive science']"
31,What is Conservation?,factual,"Conservation is the preservation or efficient use of resources, or the conservation of various quantities under physical laws.",['S062'],preservation or efficient use of resources,"['https://en.wikipedia.org/wiki/Conservation', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Sustainable_economy', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Environmental_policy']",1,1.0,0.2,0.5454545454545454,1.0,1.4847230911254883,"['Conservation', 'Sustainable economy', 'Environmental policy', 'Environmental science', 'Evolution']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Conservation', 'Education', 'Sustainable economy', 'Evolutionary biology', 'Environmental policy']"
32,What is Human brain?,factual,"The human brain is the central organ of the nervous system, and with the spinal cord, comprises the central nervous system.",['S013'],central organ of the nervous system,"['https://en.wikipedia.org/wiki/Human_brain', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Neuroscience', 'https://en.wikipedia.org/wiki/Nutrition', 'https://en.wikipedia.org/wiki/Attention']",1,1.0,0.2,0.47619047619047616,1.0,1.3404271602630615,"['Human brain', 'Neuroscience', 'Attention', 'Cognitive science', 'Neural network']","['Music', 'Nutrition', 'Archaeology', 'Anthropology', 'BREA2']","['Human brain', 'Music', 'Neuroscience', 'Nutrition', 'Attention']"
33,What is Exercise?,factual,Exercise or working out is physical activity that enhances or maintains fitness and overall health.,['S070'],physical activity,"['https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Exercise', 'https://en.wikipedia.org/wiki/Dance', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Energy']",2,0.5,0.2,0.23529411764705882,1.0,1.286224126815796,"['Exercise', 'Dance', 'Energy', 'Photosynthesis', 'Education']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Education', 'Exercise', 'Dance', 'Evolutionary biology', 'Energy']"
34,What is Complex system?,factual,Collective intelligence Collective action Self-organized criticality Herd mentality Phase transition Agent-based modelling Synchronization Ant colony optimization Particle swarm optimization Swarm behaviour Social network analysis Small-world networks Centrality Motifs Graph theory Scaling Robustness Systems biology Dynamic networks Evolutionary computation Genetic algorithms Genetic programming Artificial life Machine learning Evolutionary developmental biology Artificial intelligence Evolutionary robotics Reaction–diffusion systems Partial differential equations Dissipative structures Percolation Cellular automata Spatial ecology Self-replication Conversation theory Entropy Feedback Goal-oriented Homeostasis Information theory Operationalization Second-order cybernetics Self-reference System dynamics Systems science Systems thinking Sensemaking Variety Ordinary differential equations Phase space Attractors Population dynamics Chaos Multistability Bifurcation Rational choice theory Bounded rationality A complex system is a system composed of many components that interact with one another.,['S195'],a system composed of many components that interact with one another,"['https://en.wikipedia.org/wiki/Complex_system', 'https://en.wikipedia.org/wiki/Systems_engineering', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Network_science', 'https://en.wikipedia.org/wiki/Natural_language_processing']",1,1.0,0.2,0.15037593984962405,1.0,2.2140309810638428,"['Complex system', 'Network science', 'Systems engineering', 'Earth system science', 'Control theory']","['Education', 'Natural language processing', 'Complex system', 'Nutrition', 'Systems engineering']","['Complex system', 'Systems engineering', 'Education', 'Network science', 'Natural language processing']"
35,What is Operating system kernel?,factual,A kernel is a computer program at the core of a computer's operating system that always has complete control over everything in the system.,['S153'],a computer program,"['https://en.wikipedia.org/wiki/Operating_system_kernel', 'https://en.wikipedia.org/wiki/Operating_system', 'https://en.wikipedia.org/wiki/Virtualization', 'https://en.wikipedia.org/wiki/Containerization_(computing)', 'https://en.wikipedia.org/wiki/Justice']",1,1.0,0.2,0.18181818181818182,1.0,1.2172420024871826,"['Operating system kernel', 'Operating system', 'Virtualization', 'Containerization (computing)', 'Computer science']","['Operating system', 'Operating system kernel', 'Virtualization', 'Justice', 'Containerization (computing)']","['Operating system kernel', 'Operating system', 'Virtualization', 'Containerization (computing)', 'Justice']"
36,What is Data science?,factual,"Data science is an interdisciplinary academic field that uses statistics, scientific computing, scientific methods, processing, scientific visualization, algorithms and systems to extract or extrapolate knowledge from potentially noisy, structured, or unstructured data.",['S038'],interdisciplinary academic field,"['https://en.wikipedia.org/wiki/Data_science', 'https://en.wikipedia.org/wiki/Big_data', 'https://en.wikipedia.org/wiki/Digital_media', 'https://en.wikipedia.org/wiki/Computer_science', 'https://en.wikipedia.org/wiki/Money.Net']",1,1.0,0.2,0.17647058823529413,1.0,1.6023330688476562,"['Data science', 'Computer science', 'Big data', 'Machine learning', 'Database']","['Digital media', 'Data science', 'Money.Net', 'Big data', 'Natural language processing']","['Data science', 'Big data', 'Digital media', 'Computer science', 'Money.Net']"
37,What is Psychology?,factual,Psychology is the scientific study of the mind and behavior.,['S080'],science of the mind and behavior,"['https://en.wikipedia.org/wiki/Psychology', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Developmental_psychology', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Attention']",1,1.0,0.2,0.6153846153846154,1.0,1.3425872325897217,"['Psychology', 'Developmental psychology', 'Attention', 'Cognitive science', 'Ethics']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Psychology', 'Education', 'Developmental psychology', 'Evolutionary biology', 'Attention']"
38,What is Statistics?,factual,"Statistics (from German: Statistik, orig.",['S033'],"the discipline that concerns the collection, organization, analysis, interpretation, and presentation of data","['https://en.wikipedia.org/wiki/Statistics', 'https://en.wikipedia.org/wiki/Education', 'https://en.wikipedia.org/wiki/Probability', 'https://en.wikipedia.org/wiki/Evolutionary_biology', 'https://en.wikipedia.org/wiki/Data_science']",1,1.0,0.2,0.0,1.0,2.298048973083496,"['Statistics', 'Probability', 'Data science', 'Mathematics', 'Scientific method']","['Education', 'Evolutionary biology', 'Philosophy', 'Justice', 'Aesthetics']","['Statistics', 'Education', 'Probability', 'Evolutionary biology', 'Data science']"
